,Unnamed: 0,DATETIMEDATA,PM25,WS,TEMP,RH,WD
0,0,2024-01-01 00:00:00,16.5,1,27,79,115
1,1,2024-01-01 01:00:00,33.6,1,27,82,97
2,2,2024-01-01 02:00:00,34.2,1,26,84,96
3,3,2024-01-01 03:00:00,20.1,1,26,82,108
4,4,2024-01-01 04:00:00,16.5,1,27,79,106
5,5,2024-01-01 05:00:00,15.4,1,26,82,108
6,6,2024-01-01 06:00:00,15.7,1,26,82,109
7,7,2024-01-01 07:00:00,18.1,1,27,79,114
8,8,2024-01-01 08:00:00,19.5,1,28,72,110
9,9,2024-01-01 09:00:00,17.5,1,29,68,120
10,10,2024-01-01 10:00:00,16.4,1,30,65,151
11,11,2024-01-01 11:00:00,15.8,1,31,60,177
12,12,2024-01-01 12:00:00,16.7,1,32,57,174
13,13,2024-01-01 13:00:00,14.8,1,32,53,157
14,14,2024-01-01 14:00:00,13.4,1,32,50,144
15,15,2024-01-01 15:00:00,10.4,1,32,52,151
16,16,2024-01-01 16:00:00,11.4,1,31,56,146
17,17,2024-01-01 17:00:00,12.7,2,30,62,128
18,18,2024-01-01 18:00:00,13.9,1,29,71,148
19,19,2024-01-01 19:00:00,14.5,1,28,75,149
20,20,2024-01-01 20:00:00,13.1,1,28,76,121
21,21,2024-01-01 21:00:00,15.2,1,28,76,116
22,22,2024-01-01 22:00:00,16.9,1,28,78,116
23,23,2024-01-01 23:00:00,15.2,1,28,79,117
24,24,2024-01-02 00:00:00,12.4,2,27,79,120
25,25,2024-01-02 01:00:00,11.8,1,27,80,114
26,26,2024-01-02 02:00:00,12.5,0,26,85,106
27,27,2024-01-02 03:00:00,13.5,0,26,89,105
28,28,2024-01-02 04:00:00,14.9,1,25,91,107
29,29,2024-01-02 05:00:00,12.6,0,25,93,103
30,30,2024-01-02 06:00:00,15.2,0,25,92,105
31,31,2024-01-02 07:00:00,19.3,1,26,88,106
32,32,2024-01-02 08:00:00,18.7,1,29,72,118
33,33,2024-01-02 09:00:00,17.2,2,30,66,129
34,34,2024-01-02 10:00:00,11.7,1,31,59,132
35,35,2024-01-02 11:00:00,12.5,1,31,55,193
36,36,2024-01-02 12:00:00,11.3,1,32,55,146
37,37,2024-01-02 13:00:00,11.1,1,32,53,203
38,38,2024-01-02 14:00:00,12.0,1,32,54,173
39,39,2024-01-02 15:00:00,9.9,1,31,56,178
40,40,2024-01-02 16:00:00,9.3,1,31,57,171
41,41,2024-01-02 17:00:00,9.9,1,29,65,180
42,42,2024-01-02 18:00:00,10.8,1,28,71,138
43,43,2024-01-02 19:00:00,16.5,1,28,73,134
44,44,2024-01-02 20:00:00,13.1,1,28,74,126
45,45,2024-01-02 21:00:00,15.3,1,28,76,111
46,46,2024-01-02 22:00:00,14.3,1,27,77,111
47,47,2024-01-02 23:00:00,12.6,1,27,77,113
48,48,2024-01-03 00:00:00,9.9,1,27,80,109
49,49,2024-01-03 01:00:00,10.8,0,26,83,105
50,50,2024-01-03 02:00:00,14.8,0,26,84,106
51,51,2024-01-03 03:00:00,13.1,0,26,86,106
52,52,2024-01-03 04:00:00,21.1,0,25,90,108
53,53,2024-01-03 05:00:00,13.6,1,25,92,106
54,54,2024-01-03 06:00:00,14.5,1,25,91,106
55,55,2024-01-03 07:00:00,17.0,1,26,87,106
56,56,2024-01-03 08:00:00,21.3,1,29,74,116
57,57,2024-01-03 09:00:00,17.4,1,30,67,123
58,58,2024-01-03 10:00:00,18.2,1,31,59,148
59,59,2024-01-03 11:00:00,19.2,1,31,58,168
60,60,2024-01-03 12:00:00,11.4,1,32,55,193
61,61,2024-01-03 13:00:00,15.1,1,32,52,204
62,62,2024-01-03 14:00:00,14.8,1,32,53,168
63,63,2024-01-03 15:00:00,15.2,1,32,56,156
64,64,2024-01-03 16:00:00,16.6,1,31,59,153
65,65,2024-01-03 17:00:00,16.7,1,30,65,160
66,66,2024-01-03 18:00:00,15.6,1,29,71,190
67,67,2024-01-03 19:00:00,20.4,1,28,73,150
68,68,2024-01-03 20:00:00,15.4,1,28,74,170
69,69,2024-01-03 21:00:00,14.0,1,28,74,128
70,70,2024-01-03 22:00:00,13.6,1,28,75,128
71,71,2024-01-03 23:00:00,11.8,1,28,76,118
72,72,2024-01-04 00:00:00,11.1,1,27,78,107
73,73,2024-01-04 01:00:00,11.8,1,27,79,108
74,74,2024-01-04 02:00:00,12.8,1,26,83,103
75,75,2024-01-04 03:00:00,15.3,0,26,84,104
76,76,2024-01-04 04:00:00,12.9,1,26,86,105
77,77,2024-01-04 05:00:00,17.0,1,26,87,104
78,78,2024-01-04 06:00:00,15.1,1,26,85,106
79,79,2024-01-04 07:00:00,15.7,1,27,79,117
80,80,2024-01-04 08:00:00,16.4,1,29,73,118
81,81,2024-01-04 09:00:00,21.5,1,30,65,137
82,82,2024-01-04 10:00:00,20.5,1,32,58,106
83,83,2024-01-04 11:00:00,16.4,1,32,53,155
84,84,2024-01-04 12:00:00,14.5,1,33,51,116
85,85,2024-01-04 13:00:00,15.4,1,33,48,135
86,86,2024-01-04 14:00:00,13.4,1,33,50,175
87,87,2024-01-04 15:00:00,17.1,1,32,56,154
88,88,2024-01-04 16:00:00,14.6,1,32,58,142
89,89,2024-01-04 17:00:00,19.7,1,30,64,129
90,90,2024-01-04 18:00:00,19.7,1,29,68,124
91,91,2024-01-04 19:00:00,20.9,1,28,74,138
92,92,2024-01-04 20:00:00,21.1,1,28,73,153
93,93,2024-01-04 21:00:00,23.1,1,28,74,125
94,94,2024-01-04 22:00:00,27.6,1,28,74,123
95,95,2024-01-04 23:00:00,19.9,1,27,74,111
96,96,2024-01-05 00:00:00,17.5,1,27,73,123
97,97,2024-01-05 01:00:00,18.4,1,27,74,97
98,98,2024-01-05 02:00:00,17.0,1,26,77,94
99,99,2024-01-05 03:00:00,17.4,1,26,76,98
100,100,2024-01-05 04:00:00,18.9,1,26,75,99
101,101,2024-01-05 05:00:00,14.6,1,26,77,109
102,102,2024-01-05 06:00:00,13.8,1,26,75,110
103,103,2024-01-05 07:00:00,19.9,1,27,74,107
104,104,2024-01-05 08:00:00,20.1,1,28,69,90
105,105,2024-01-05 09:00:00,19.0,1,30,66,114
106,106,2024-01-05 10:00:00,18.5,1,30,63,148
107,107,2024-01-05 11:00:00,21.3,1,31,56,214
108,108,2024-01-05 12:00:00,17.6,1,31,56,232
109,109,2024-01-05 13:00:00,15.3,1,32,49,190
110,110,2024-01-05 14:00:00,12.4,1,31,53,175
111,111,2024-01-05 15:00:00,13.1,1,31,55,201
112,112,2024-01-05 16:00:00,11.6,1,30,58,177
113,113,2024-01-05 17:00:00,18.0,1,29,65,152
114,114,2024-01-05 18:00:00,19.2,1,28,70,173
115,115,2024-01-05 19:00:00,19.4,1,28,70,151
116,116,2024-01-05 20:00:00,22.4,1,28,70,123
117,117,2024-01-05 21:00:00,20.4,1,28,71,104
118,118,2024-01-05 22:00:00,21.6,1,27,72,99
119,119,2024-01-05 23:00:00,17.1,1,27,74,114
120,120,2024-01-06 00:00:00,18.6,1,27,77,111
121,121,2024-01-06 01:00:00,19.9,1,27,78,115
122,122,2024-01-06 02:00:00,20.1,1,27,78,114
123,123,2024-01-06 03:00:00,22.7,1,27,78,113
124,124,2024-01-06 04:00:00,20.6,1,26,79,108
125,125,2024-01-06 05:00:00,20.6,1,26,83,105
126,126,2024-01-06 06:00:00,20.0,1,26,82,110
127,127,2024-01-06 07:00:00,23.2,1,26,83,111
128,128,2024-01-06 08:00:00,24.0,1,29,70,123
129,129,2024-01-06 09:00:00,23.8,1,29,68,141
130,130,2024-01-06 10:00:00,28.7,1,30,59,171
131,131,2024-01-06 11:00:00,30.5,1,31,57,178
132,132,2024-01-06 12:00:00,20.2,1,31,59,194
133,133,2024-01-06 13:00:00,21.1,1,31,58,180
134,134,2024-01-06 14:00:00,18.8,1,31,58,170
135,135,2024-01-06 15:00:00,22.4,1,31,57,202
136,136,2024-01-06 16:00:00,20.7,1,31,61,168
137,137,2024-01-06 17:00:00,17.8,1,29,65,145
