Unnamed: 0,DATETIMEDATA,PM25,O3,WS,Temperature,Relative Humidity,Wind Direction,Atmospheric Pressure,RAIN
0,2024-01-01 00:00:00,16.5,16.0,1,27.0,79.0,115.0,759.0,0
1,2024-01-01 01:00:00,33.6,0.0,1,27.0,82.0,97.0,759.0,0
2,2024-01-01 02:00:00,34.2,0.0,1,26.0,84.0,96.0,758.0,0
3,2024-01-01 03:00:00,20.1,0.0,1,26.0,82.0,108.0,758.0,0
4,2024-01-01 04:00:00,16.5,1.0,1,27.0,79.0,106.0,758.0,0
5,2024-01-01 05:00:00,15.4,1.0,1,26.0,82.0,108.0,758.0,0
6,2024-01-01 06:00:00,15.7,7.0,1,26.0,82.0,109.0,758.0,0
7,2024-01-01 07:00:00,18.1,1.0,1,27.0,79.0,114.0,759.0,0
8,2024-01-01 08:00:00,19.5,0.0,1,28.0,72.0,110.0,759.0,0
9,2024-01-01 09:00:00,17.5,1.0,1,29.0,68.0,120.0,760.0,0
10,2024-01-01 10:00:00,16.4,11.03867403314917,1,30.0,65.0,151.0,760.0,0
11,2024-01-01 11:00:00,15.8,9.0,1,31.0,60.0,177.0,759.0,0
12,2024-01-01 12:00:00,16.7,14.0,1,32.0,57.0,174.0,759.0,0
13,2024-01-01 13:00:00,14.8,25.0,1,32.0,53.0,157.0,758.0,0
14,2024-01-01 14:00:00,13.4,0.0,1,32.0,50.0,144.0,758.0,0
15,2024-01-01 15:00:00,10.4,21.0,1,32.0,52.0,151.0,757.0,0
16,2024-01-01 16:00:00,11.4,21.0,1,31.0,56.0,146.0,757.0,0
17,2024-01-01 17:00:00,12.7,0.0,2,30.0,62.0,128.0,758.0,0
18,2024-01-01 18:00:00,13.9,19.0,1,29.0,71.0,148.0,758.0,0
19,2024-01-01 19:00:00,14.5,10.0,1,28.0,75.0,149.0,759.0,0
20,2024-01-01 20:00:00,13.1,0.0,1,28.0,76.0,121.0,759.0,0
21,2024-01-01 21:00:00,15.2,0.0,1,28.0,76.0,116.0,760.0,0
22,2024-01-01 22:00:00,16.9,2.0,1,28.0,78.0,116.0,760.0,0
23,2024-01-01 23:00:00,15.2,2.0,1,28.0,79.0,117.0,759.0,0
24,2024-01-02 00:00:00,12.4,0.0,2,27.0,79.0,120.0,759.0,0
25,2024-01-02 01:00:00,11.8,7.0,1,27.0,80.0,114.0,759.0,0
26,2024-01-02 02:00:00,12.5,0.0,0,26.0,85.0,106.0,758.0,0
27,2024-01-02 03:00:00,13.5,1.0,0,26.0,89.0,105.0,758.0,0
28,2024-01-02 04:00:00,14.9,1.0,1,25.0,91.0,107.0,758.0,0
29,2024-01-02 05:00:00,12.6,1.0,0,25.0,93.0,103.0,758.0,0
30,2024-01-02 06:00:00,15.2,0.0,0,25.0,92.0,105.0,759.0,0
31,2024-01-02 07:00:00,19.3,2.0,1,26.0,88.0,106.0,759.0,0
32,2024-01-02 08:00:00,18.7,0.0,1,29.0,72.0,118.0,760.0,0
33,2024-01-02 09:00:00,17.2,9.0,2,30.0,66.0,129.0,760.0,0
34,2024-01-02 10:00:00,11.7,22.0,1,31.0,59.0,132.0,759.0,0
35,2024-01-02 11:00:00,12.5,11.03867403314917,1,31.0,55.0,193.0,759.0,0
36,2024-01-02 12:00:00,11.3,10.0,1,32.0,55.0,146.0,758.0,0
37,2024-01-02 13:00:00,11.1,1.0,1,32.0,53.0,203.0,758.0,0
38,2024-01-02 14:00:00,12.0,7.0,1,32.0,54.0,173.0,757.0,0
39,2024-01-02 15:00:00,9.9,0.0,1,31.0,56.0,178.0,757.0,0
40,2024-01-02 16:00:00,9.3,2.0,1,31.0,57.0,171.0,757.0,0
