,DATETIMEDATA,PREDICTION_PM25
2024-03-08 00:00:00,2024-03-09 00:00:00,22.46042921101505
2024-03-08 01:00:00,2024-03-09 01:00:00,21.559596226033307
2024-03-08 02:00:00,2024-03-09 02:00:00,19.979492898133575
2024-03-08 03:00:00,2024-03-09 03:00:00,21.27260095378536
2024-03-08 04:00:00,2024-03-09 04:00:00,20.086737115983972
2024-03-08 05:00:00,2024-03-09 05:00:00,20.332934573826208
2024-03-08 06:00:00,2024-03-09 06:00:00,20.015376304702343
2024-03-08 07:00:00,2024-03-09 07:00:00,24.476527565286176
2024-03-08 08:00:00,2024-03-09 08:00:00,25.33029082934585
2024-03-08 09:00:00,2024-03-09 09:00:00,23.22425125292733
2024-03-08 10:00:00,2024-03-09 10:00:00,21.21168672198025
2024-03-08 11:00:00,2024-03-09 11:00:00,20.57067850113969
2024-03-08 12:00:00,2024-03-09 12:00:00,18.095107981784338
2024-03-08 13:00:00,2024-03-09 13:00:00,17.714087215508272
2024-03-08 14:00:00,2024-03-09 14:00:00,16.23156573243179
2024-03-08 15:00:00,2024-03-09 15:00:00,17.490008472570608
2024-03-08 16:00:00,2024-03-09 16:00:00,16.89122132765872
2024-03-08 17:00:00,2024-03-09 17:00:00,17.26242446713863
2024-03-08 18:00:00,2024-03-09 18:00:00,17.280223471339955
2024-03-08 19:00:00,2024-03-09 19:00:00,18.634488082944664
2024-03-08 20:00:00,2024-03-09 20:00:00,20.506137614654754
2024-03-08 21:00:00,2024-03-09 21:00:00,19.41118230890749
2024-03-08 22:00:00,2024-03-09 22:00:00,21.507481041476634
2024-03-08 23:00:00,2024-03-09 23:00:00,18.347712129540536
2024-03-09 00:00:00,2024-03-10 00:00:00,18.54723863168072
2024-03-09 01:00:00,2024-03-10 01:00:00,18.025105031016917
2024-03-09 02:00:00,2024-03-10 02:00:00,17.717436961382557
2024-03-09 03:00:00,2024-03-10 03:00:00,17.192206121807786
2024-03-09 04:00:00,2024-03-10 04:00:00,17.7828087273453
2024-03-09 05:00:00,2024-03-10 05:00:00,19.149572030033987
2024-03-09 06:00:00,2024-03-10 06:00:00,19.94533152645598
2024-03-09 07:00:00,2024-03-10 07:00:00,21.924577345535024
2024-03-09 08:00:00,2024-03-10 08:00:00,22.84359880895289
2024-03-09 09:00:00,2024-03-10 09:00:00,20.629338035737167
2024-03-09 10:00:00,2024-03-10 10:00:00,19.195888852334953
2024-03-09 11:00:00,2024-03-10 11:00:00,18.654534491100897
2024-03-09 12:00:00,2024-03-10 12:00:00,16.981510964844126
2024-03-09 13:00:00,2024-03-10 13:00:00,16.444120100690814
2024-03-09 14:00:00,2024-03-10 14:00:00,15.791060197308362
2024-03-09 15:00:00,2024-03-10 15:00:00,16.61032111187862
2024-03-09 16:00:00,2024-03-10 16:00:00,16.350820295946264
2024-03-09 17:00:00,2024-03-10 17:00:00,17.062858141432034
2024-03-09 18:00:00,2024-03-10 18:00:00,17.37202885488897
2024-03-09 19:00:00,2024-03-10 19:00:00,18.959813335482504
2024-03-09 20:00:00,2024-03-10 20:00:00,19.806029553038503
2024-03-09 21:00:00,2024-03-10 21:00:00,19.25233883467098
2024-03-09 22:00:00,2024-03-10 22:00:00,19.680446743166453
2024-03-09 23:00:00,2024-03-10 23:00:00,17.427606655307457
2024-03-10 00:00:00,2024-03-11 00:00:00,17.695129104269984
2024-03-10 01:00:00,2024-03-11 01:00:00,17.520720523134454
2024-03-10 02:00:00,2024-03-11 02:00:00,17.398003123662008
2024-03-10 03:00:00,2024-03-11 03:00:00,16.40207115538715
2024-03-10 04:00:00,2024-03-11 04:00:00,17.28800722344504
2024-03-10 05:00:00,2024-03-11 05:00:00,19.104465688739086
2024-03-10 06:00:00,2024-03-11 06:00:00,20.151044207873575
2024-03-10 07:00:00,2024-03-11 07:00:00,21.432144646064785
2024-03-10 08:00:00,2024-03-11 08:00:00,22.179542896519756
2024-03-10 09:00:00,2024-03-11 09:00:00,19.745829979393886
2024-03-10 10:00:00,2024-03-11 10:00:00,18.21411682553078
2024-03-10 11:00:00,2024-03-11 11:00:00,17.970501547424927
2024-03-10 12:00:00,2024-03-11 12:00:00,16.474376344717008
2024-03-10 13:00:00,2024-03-11 13:00:00,15.949483466817636
2024-03-10 14:00:00,2024-03-11 14:00:00,15.210417027390728
2024-03-10 15:00:00,2024-03-11 15:00:00,15.635614828162007
2024-03-10 16:00:00,2024-03-11 16:00:00,15.429486336287177
2024-03-10 17:00:00,2024-03-11 17:00:00,16.61665711546642
2024-03-10 18:00:00,2024-03-11 18:00:00,17.140883494175068
2024-03-10 19:00:00,2024-03-11 19:00:00,18.913478656600763
2024-03-10 20:00:00,2024-03-11 20:00:00,19.52429540195274
2024-03-10 21:00:00,2024-03-11 21:00:00,18.99282357628407
2024-03-10 22:00:00,2024-03-11 22:00:00,19.193253184197992
2024-03-10 23:00:00,2024-03-11 23:00:00,17.32322592896984
2024-03-11 00:00:00,2024-03-12 00:00:00,17.572786697120502
2024-03-11 01:00:00,2024-03-12 01:00:00,17.207591157911775
2024-03-11 02:00:00,2024-03-12 02:00:00,17.230356537272577
2024-03-11 03:00:00,2024-03-12 03:00:00,16.251390196373205
2024-03-11 04:00:00,2024-03-12 04:00:00,17.178530807793106
2024-03-11 05:00:00,2024-03-12 05:00:00,19.00434600456258
2024-03-11 06:00:00,2024-03-12 06:00:00,20.052799213556636
2024-03-11 07:00:00,2024-03-12 07:00:00,21.194315417159036
2024-03-11 08:00:00,2024-03-12 08:00:00,21.93236732236699
2024-03-11 09:00:00,2024-03-12 09:00:00,19.639250764070695
2024-03-11 10:00:00,2024-03-12 10:00:00,18.450643102840903
2024-03-11 11:00:00,2024-03-12 11:00:00,17.849048988122714
2024-03-11 12:00:00,2024-03-12 12:00:00,16.64564992118656
2024-03-11 13:00:00,2024-03-12 13:00:00,16.04068557559085
2024-03-11 14:00:00,2024-03-12 14:00:00,15.453310129246285
2024-03-11 15:00:00,2024-03-12 15:00:00,16.01416963949876
2024-03-11 16:00:00,2024-03-12 16:00:00,15.85816238531694
2024-03-11 17:00:00,2024-03-12 17:00:00,16.92543609927274
2024-03-11 18:00:00,2024-03-12 18:00:00,17.494565665402398
2024-03-11 19:00:00,2024-03-12 19:00:00,19.18334451902173
2024-03-11 20:00:00,2024-03-12 20:00:00,19.673431424138826
2024-03-11 21:00:00,2024-03-12 21:00:00,19.25270613641948
2024-03-11 22:00:00,2024-03-12 22:00:00,19.372927226508587
2024-03-11 23:00:00,2024-03-12 23:00:00,17.416895593739063
2024-03-12 00:00:00,2024-03-13 00:00:00,17.521421443543357
2024-03-12 01:00:00,2024-03-13 01:00:00,17.45008211976642
2024-03-12 02:00:00,2024-03-13 02:00:00,17.508836135459497
2024-03-12 03:00:00,2024-03-13 03:00:00,16.46044456993553
2024-03-12 04:00:00,2024-03-13 04:00:00,17.447427945274136
2024-03-12 05:00:00,2024-03-13 05:00:00,19.289710545654287
2024-03-12 06:00:00,2024-03-13 06:00:00,20.48588830251118
2024-03-12 07:00:00,2024-03-13 07:00:00,20.955105342595154
2024-03-12 08:00:00,2024-03-13 08:00:00,21.964666389504075
